headline,date
Government's power sector schemes get 50% higher funds in Budget 2024,"February 06, 2024 11:24 AM"
How Budget 2024 embraces the Indian revolution in renewable energy,"February 05, 2024 03:15 PM"
Govt launches pilot project on use of green hydrogen in shipping,"February 02, 2024 09:04 PM"
"After Interim Budget, govt invites bids for offshore wind projects","February 02, 2024 07:30 PM"
"Budget 2024 on Green Energy: Rooftop solar, offshore wind, coal gasification, biomass get boost","February 01, 2024 03:06 PM"
Interim Budget promises up to 300 units monthly free electricity to households from rooftop solar,"February 01, 2024 12:08 PM"
"Budget 2024: Green energy sector seeks more incentives, tax relaxations","January 30, 2024 11:22 AM"
MC Exclusive: Interim Budget likely to offer enhanced subsidies under PM Suryoday Yojna,"January 24, 2024 08:41 AM"
Modi's first decision after Ayodhya visit: Scheme to install solar rooftops on 1 crore houses,"January 22, 2024 06:59 PM"
We have ensured universal access to power; connected 29 mn homes: Union Minister for Power and New and Renewable Energy RK Singh,"January 19, 2024 04:52 PM"
MC Exclusive | RK Singh vows to double India's hydropower capacity,"January 19, 2024 07:46 AM"
MC Exclusive | India at the forefront of energy transition: power minister RK Singh,"January 19, 2024 06:41 AM"
India to implement approved solar module maker list in April: RK Singh,"January 16, 2024 06:17 PM"
"Govt notifies Electricity (Amendment) Rules, 2024 to exempt captive projects from transmission license","January 15, 2024 08:42 PM"
Exclusive | Govt to give 50% discount on revenue for underground coal mining: Minister Pralhad Joshi,"January 12, 2024 07:54 PM"
MC Interview | Coal ministry PSUs together to have 12 GW renewable energy capacity by 2030: Pralhad Joshi,"January 12, 2024 01:47 PM"
Budget 2024: Look beyond sops to energise RE growth,"January 12, 2024 09:58 AM"
"Exclusive: Coal push may continue even after doubling capacity by 2030, says Pralhad Joshi","January 11, 2024 03:43 PM"
"Budget 2024: Energy sector expects fund allocation for cleaner fuels, green hydrogen","January 11, 2024 03:12 PM"
MC Explains: Govt’s new solar scheme worth Rs 515 crore for tribal areas,"January 08, 2024 08:07 AM"
Cabinet approves MoU with US agency for greener railways,"January 05, 2024 02:35 PM"
"Exclusive: No plan to increase gas-based power generation, says RK Singh","January 04, 2024 05:02 PM"
The Green Pivot: India’s solar energy capacity is growing but challenges remain,"January 04, 2024 08:15 AM"
"Rising demand for windmills improve project pipeline for Suzlon, Inox Wind","January 02, 2024 09:19 AM"
"Bank lending to renewable energy falls significantly, shows RBI data","January 01, 2024 02:22 PM"
No plan to offer viability gap funding for pumped storage projects: RK Singh,"December 27, 2023 06:52 PM"
2024: A year when all new power sector policies will spring into action,"December 27, 2023 10:02 AM"
TPG weighs $750 million investment in Greenko’s green ammonia business,"December 26, 2023 02:31 PM"
Government aims to slash imported coal stocks at thermal power plants to 2% by FY25: Pralhad Joshi,"December 20, 2023 09:56 PM"
Green Energy: India notifies rules to lease out seabed for offshore wind,"December 20, 2023 07:12 PM"
Grasim Industries’s clean energy arm in advanced talks with Qatar’s Nebras Power for investment,"December 18, 2023 09:25 PM"
Suzlon Energy rises 3% on order for 100.8 MW wind power project,"December 15, 2023 10:22 AM"
NTPC eyeing merchant market as key revenue source for renewable energy,"December 14, 2023 07:48 PM"
"Solar project developers in a sweet spot over steady tariffs, falling costs","December 12, 2023 09:16 AM"
India’s focus needs to be on producing more green power: Harvard professor,"December 11, 2023 03:19 PM"
"Govt allocates 1,972 MW additional power to J&K to meet winter demand","December 08, 2023 09:47 PM"
Share of renewable energy with hydropower in India to touch 40% by 2030 from the current 23%: ICRA,"December 07, 2023 06:49 PM"
"Exclusive | ALMM for solar panels may be implemented from April 2024, say govt officials","December 07, 2023 10:49 AM"
COP28: Energy Day roiled by outrage over oil lobbyists amid alarming climate change reports,"December 06, 2023 07:00 AM"
"COP28: Global climate targets will not be met unless governments ramp up NDCs, says ReNew Chairman","December 05, 2023 01:18 PM"
COP28: Why India stayed away from green energy pledge on coal issue,"December 04, 2023 04:30 PM"
"Radiance Renewables plans to raise about Rs 1,250 crore by June","December 04, 2023 08:00 AM"
Coal imports for blending drop 46.5%; coal-based power generation up 8.8%,"November 29, 2023 06:49 PM"
Can green energy help NTPC realise its valuation potential?,"November 29, 2023 07:39 AM"
COP28: Climate negotiators head to Dubai as global temperatures breach critical levels,"November 28, 2023 01:57 PM"
"Sembcorp to acquire 428 MW wind assets in India, China","November 27, 2023 05:11 PM"
"Suzlon Energy snaps 3-day losing streak, locked in 5% upper circuit","November 23, 2023 03:03 PM"
Solar Modules — How to fix the dichotomy?,"November 22, 2023 08:51 AM"
Exclusive: PowerGrid can start work on Leh-Kaithal Green Energy Corridor only by 2026,"November 22, 2023 08:00 AM"
ReNew open to selling minority stake in solar module manufacturing capacity: CEO Sumant Sinha,"November 21, 2023 07:00 AM"
Coal power plants thrive despite surge in renewable energy capacity: CRISIL Ratings,"November 16, 2023 05:48 PM"
Adani Electricity Mumbai supplies green power for 4 hours on Diwali,"November 13, 2023 04:35 PM"
Over 60 countries back deal to triple renewable energy this decade,"November 11, 2023 07:27 AM"
"Exclusive | Declining coal prices impacted generation and mining profit margins in Q2, says Tata Power MD Praveer Sinha","November 10, 2023 07:03 AM"
Exclusive | 51% of Tata Power's installed capacity to be green by FY26: CEO &amp; MD Praveer Sinha,"November 08, 2023 07:23 PM"
Discoms to be mandated timelines for rooftop solar projects execution: RK Singh,"November 07, 2023 03:17 PM"
Can a rule tweak help rooftops power solar energy target?,"November 07, 2023 10:41 AM"
Loss and damage fund must be set up to meet climate change goals: ReNew chairman Sumant Sinha,"November 07, 2023 08:00 AM"
"Exclusive: NTPC plans 14,000 MW pumped hydro storage projects for round-the-clock power","November 06, 2023 02:25 PM"
IEA - fossil fuel will peak by 2030,"October 31, 2023 09:44 AM"
Exclusive | French energy giant Engie to bring its GEMS unit to India: CCO Naresh Baluja,"October 26, 2023 04:51 PM"
IndiGrid awarded its first battery energy storage system project,"October 25, 2023 06:24 PM"
Exclusive: Imported coal-based power plants have to run on 100% capacity till June,"October 25, 2023 02:10 PM"
Solar module makers will soon have to follow 'Make in India' trajectory: RK Singh,"October 20, 2023 05:57 PM"
"Global Solar Sector investment soars to $380bn in current year, says ISA's Ajay Mathur","October 18, 2023 09:37 PM"
Sikkim flash flood | Power ministry investigating early warning system at Teesta Urja hydropower project: RK Singh,"October 18, 2023 07:58 PM"
Indian solar manufacturers forced to export as developers prefer imports: Industry stakeholders,"October 17, 2023 03:34 PM"
Exclusive | Mundra to be largest fully integrated renewable energy manufacturing hub: Adani Group,"October 13, 2023 07:00 AM"
India well placed to contribute towards strengthening and diversifying supply chains: FM,"October 11, 2023 10:50 PM"
Govt plans to reduce renewable generation obligation for new power plants to 6-10% from 40%,"October 10, 2023 06:23 PM"
"India's shift to green power may cost 73,800 jobs at Coal India by 2050: GEM report","October 10, 2023 10:11 AM"
Foreign participation shrinks at India's renewable energy expo,"October 06, 2023 12:51 AM"
